term,specialty,suggested_icd
hiperglucemia,endocrino,E11
hipoglucemia,endocrino,E16
descompensacion diabetica,endocrino,E11
cetoacidosis,endocrino,E10
estado hiperosmolar,endocrino,E11
resistencia a la insulina,endocrino,E88
neuropatia diabetica,endocrino,E114
nefropatia diabetica,endocrino,E112
retinopatia diabetica,endocrino,E113
pie diabetico,endocrino,E115
ulcera diabetica,endocrino,L97
osteomielitis diabetica,endocrino,M86
obesidad,endocrino,E66
sobrepeso,endocrino,E66
sindrome metabolico,endocrino,E88
dislipidemia,endocrino,E78
hipertrigliceridemia,endocrino,E78
higado graso,endocrino,K76
diabetes tipo 2,endocrino,E11
dm2,endocrino,E11
diabetes,endocrino,E11
glucosa alta,endocrino,E11
azucar alta,endocrino,E11
prediabetes,endocrino,R73
hipercolesterolemia,endocrino,E78
erc diabetica,endocrino,N18
hipotiroidismo,endocrino,E03
hipertiroidismo,endocrino,E05
hipertension,cardio,I10
hta,cardio,I10
presion alta,cardio,I10
cardiopatia isquemica,cardio,I25
angina,cardio,I20
infarto,cardio,I21
iam,cardio,I21
insuficiencia cardiaca,cardio,I50
fibrilacion auricular,cardio,I48
arritmia,cardio,I49
riesgo cardiovascular,cardio,Z13
nodulo tiroideo,endocrino,E04
sindrome coronario agudo,cardio,I24
dolor toracico,cardio,R07
dolor precordial,cardio,R07
palpitaciones,cardio,R00
sincope,cardio,R55
disnea,cardio,R06
edema,cardio,R60
fiebre,general,R50
fatiga,general,R53
debilidad,general,R53
perdida de peso,general,R63
mareo,general,R42
cefalea,general,R51
nauseas,general,R11
vomitos,general,R11
insomnio,general,G47
ansiedad,general,F41
depresion,general,F32
dolor cronico,general,R52
neumonia,infeccioso,J18
bronquitis,infeccioso,J20
faringitis,infeccioso,J02
infeccion respiratoria,infeccioso,J06
infeccion urinaria,infeccioso,N39
cistitis,infeccioso,N30
pielonefritis,infeccioso,N10
celulitis,infeccioso,L03
absceso,infeccioso,L02
herida infectada,infeccioso,T14
sepsis,infeccioso,A41
choque septico,infeccioso,R65
dolor agudo,dolor,R52
dolor severo,dolor,R52
dolor moderado,dolor,R52
dolor leve,dolor,R52
dolor generalizado,dolor,R52
dolor persistente,dolor,R52
dolor recurrente,dolor,R52
dolor neuropatico,dolor,G62
dolor somatico,dolor,R52
dolor visceral,dolor,R52
dolor central,dolor,G89
dolor refractario,dolor,G89
dolor intratable,dolor,G89
