code,description,chapter,block
A00,"COLERA A000 COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE A001 COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR A009 COLERA NO ESPECIFICADO",A,A00
A01,"FIEBRE TIFOIDEA Y PARATIFOIDEA A010 FIEBRE TIFOIDEA A011 FIEBRE PARATIFOIDEA A A012 FIEBRE PARATIFOIDEA B A013 FIEBRE PARATIFOIDEA C A014 FIEBRE PARATIFOIDEA, NO ESPECIFICADA",A,A01
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA A020 ENTERITIS DEBIDA A SALMONELLA A021 SEPTICEMIA DEBIDA A SALMONELLA A022 INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA A028 OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA A029 INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA,A,A02
A03,SHIGELOSIS A030 SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE A031 SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI A032 SHIGELOSIS DEBIDA A SHIGELLA BOYDII A033 SHIGELOSIS DEBIDA A SHIGELLA SONNEI A038 OTRAS SHIGELOSIS A039 SHIGELOSIS DE TIPO NO ESPECIFICADO,A,A03
A04,"OTRAS INFECCIONES INTESTINALES BACTERIANAS A040 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA A041 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA A042 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA A043 INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA A044 OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI A045 ENTERITIS DEBIDA A CAMPYLOBACTER A046 ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA A047 ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE A048 OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS A049 INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",A,A04
A05,"OTRAS INTOXICACIONES INTESTINALES BACTERIANAS A050 INTOXICACION ALIMENTARIA ESTAFILOCOCICA A051 BOTULISMO INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM A052 WELCHII] A053 INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS A054 INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS A058 OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS A059 INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",A,A05
A06,"AMEBIASIS A060 DISENTERIA AMEBIANA AGUDA A061 AMEBIASIS INTESTINAL CRONICA A062 COLITIS AMEBIANA NO DISENTERICA A063 AMEBOMA INTESTINAL A064 ABSCESO AMEBIANO DEL HIGADO A065 ABSCESO AMEBIANO DEL PULMON A066 ABSCESO AMEBIANO DEL CEREBRO A067 AMEBIASIS CUTANEA A068 INFECCION AMEBIANA DE OTRAS LOCALIZACIONES A069 AMEBIASIS, NO ESPECIFICADA",A,A06
A07,"OTRAS ENFERMEDADES INTESTINALES DEBIDAS A A070 BALANTIDIASIS A071 GIARDIASIS [LAMBLIASIS] A072 CRIPTOSPORIDIOSIS A073 ISOSPORIASIS A078 OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS A079 ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",A,A07
A08,"INFECCIONES INTESTINALES DEBIDAS A VIRUS Y A080 ENTERITIS DEBIDA A ROTAVIRUS A081 GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK A082 ENTERITIS DEBIDA A ADENOVIRUS A083 OTRAS ENTERITIS VIRALES A084 INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION A085 OTRAS INFECCIONES INTESTINALES ESPECIFICADAS",A,A08
A09,"DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN A09 DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO (COLITIS AGUDA) TUBERCULOSIS RESPIRATORIA, CONFIRMADA TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL",A,A09
