id,parent_id,code,description,level
chapter:A,,A,Chapter A,chapter
chapter:B,,B,Chapter B,chapter
chapter:C,,C,Chapter C,chapter
chapter:D,,D,Chapter D,chapter
chapter:E,,E,Chapter E,chapter
chapter:F,,F,Chapter F,chapter
chapter:G,,G,Chapter G,chapter
chapter:H,,H,Chapter H,chapter
chapter:I,,I,Chapter I,chapter
chapter:J,,J,Chapter J,chapter
chapter:K,,K,Chapter K,chapter
chapter:L,,L,Chapter L,chapter
chapter:M,,M,Chapter M,chapter
chapter:N,,N,Chapter N,chapter
chapter:O,,O,Chapter O,chapter
chapter:P,,P,Chapter P,chapter
chapter:Q,,Q,Chapter Q,chapter
chapter:R,,R,Chapter R,chapter
chapter:S,,S,Chapter S,chapter
chapter:T,,T,Chapter T,chapter
chapter:V,,V,Chapter V,chapter
chapter:W,,W,Chapter W,chapter
chapter:X,,X,Chapter X,chapter
chapter:Y,,Y,Chapter Y,chapter
chapter:Z,,Z,Chapter Z,chapter
block:A00,chapter:A,A00,Block A00,block
block:A01,chapter:A,A01,Block A01,block
block:A02,chapter:A,A02,Block A02,block
block:A03,chapter:A,A03,Block A03,block
block:A04,chapter:A,A04,Block A04,block
block:A05,chapter:A,A05,Block A05,block
block:A06,chapter:A,A06,Block A06,block
block:A07,chapter:A,A07,Block A07,block
block:A08,chapter:A,A08,Block A08,block
block:A09,chapter:A,A09,Block A09,block
block:A15,chapter:A,A15,Block A15,block
block:A16,chapter:A,A16,Block A16,block
block:A17,chapter:A,A17,Block A17,block
block:A18,chapter:A,A18,Block A18,block
block:A19,chapter:A,A19,Block A19,block
block:A20,chapter:A,A20,Block A20,block
block:A21,chapter:A,A21,Block A21,block
block:A22,chapter:A,A22,Block A22,block
block:A23,chapter:A,A23,Block A23,block
block:A24,chapter:A,A24,Block A24,block
block:A25,chapter:A,A25,Block A25,block
block:A26,chapter:A,A26,Block A26,block
block:A27,chapter:A,A27,Block A27,block
block:A28,chapter:A,A28,Block A28,block
block:A30,chapter:A,A30,Block A30,block
block:A31,chapter:A,A31,Block A31,block
block:A32,chapter:A,A32,Block A32,block
block:A33,chapter:A,A33,Block A33,block
block:A34,chapter:A,A34,Block A34,block
block:A35,chapter:A,A35,Block A35,block
block:A36,chapter:A,A36,Block A36,block
block:A37,chapter:A,A37,Block A37,block
block:A38,chapter:A,A38,Block A38,block
block:A39,chapter:A,A39,Block A39,block
block:A40,chapter:A,A40,Block A40,block
block:A41,chapter:A,A41,Block A41,block
block:A42,chapter:A,A42,Block A42,block
block:A43,chapter:A,A43,Block A43,block
block:A44,chapter:A,A44,Block A44,block
block:A46,chapter:A,A46,Block A46,block
block:A48,chapter:A,A48,Block A48,block
block:A49,chapter:A,A49,Block A49,block
block:A50,chapter:A,A50,Block A50,block
block:A51,chapter:A,A51,Block A51,block
block:A52,chapter:A,A52,Block A52,block
block:A53,chapter:A,A53,Block A53,block
block:A54,chapter:A,A54,Block A54,block
block:A55,chapter:A,A55,Block A55,block
block:A56,chapter:A,A56,Block A56,block
block:A57,chapter:A,A57,Block A57,block
block:A58,chapter:A,A58,Block A58,block
block:A59,chapter:A,A59,Block A59,block
block:A60,chapter:A,A60,Block A60,block
block:A63,chapter:A,A63,Block A63,block
block:A64,chapter:A,A64,Block A64,block
block:A65,chapter:A,A65,Block A65,block
block:A66,chapter:A,A66,Block A66,block
block:A67,chapter:A,A67,Block A67,block
block:A68,chapter:A,A68,Block A68,block
block:A69,chapter:A,A69,Block A69,block
block:A70,chapter:A,A70,Block A70,block
block:A71,chapter:A,A71,Block A71,block
block:A74,chapter:A,A74,Block A74,block
block:A75,chapter:A,A75,Block A75,block
block:A77,chapter:A,A77,Block A77,block
block:A78,chapter:A,A78,Block A78,block
block:A79,chapter:A,A79,Block A79,block
block:A80,chapter:A,A80,Block A80,block
block:A81,chapter:A,A81,Block A81,block
block:A82,chapter:A,A82,Block A82,block
block:A83,chapter:A,A83,Block A83,block
block:A84,chapter:A,A84,Block A84,block
block:A85,chapter:A,A85,Block A85,block
block:A86,chapter:A,A86,Block A86,block
block:A87,chapter:A,A87,Block A87,block
block:A88,chapter:A,A88,Block A88,block
block:A89,chapter:A,A89,Block A89,block
block:A90,chapter:A,A90,Block A90,block
block:A91,chapter:A,A91,Block A91,block
block:A92,chapter:A,A92,Block A92,block
block:A93,chapter:A,A93,Block A93,block
block:A94,chapter:A,A94,Block A94,block
block:A95,chapter:A,A95,Block A95,block
block:A96,chapter:A,A96,Block A96,block
block:A98,chapter:A,A98,Block A98,block
block:A99,chapter:A,A99,Block A99,block
block:B00,chapter:B,B00,Block B00,block
block:B01,chapter:B,B01,Block B01,block
block:B02,chapter:B,B02,Block B02,block
block:B03,chapter:B,B03,Block B03,block
block:B04,chapter:B,B04,Block B04,block
block:B05,chapter:B,B05,Block B05,block
block:B06,chapter:B,B06,Block B06,block
block:B07,chapter:B,B07,Block B07,block
block:B08,chapter:B,B08,Block B08,block
block:B09,chapter:B,B09,Block B09,block
block:B12,chapter:B,B12,Block B12,block
block:B15,chapter:B,B15,Block B15,block
block:B16,chapter:B,B16,Block B16,block
block:B17,chapter:B,B17,Block B17,block
block:B18,chapter:B,B18,Block B18,block
block:B19,chapter:B,B19,Block B19,block
block:B20,chapter:B,B20,Block B20,block
block:B21,chapter:B,B21,Block B21,block
block:B22,chapter:B,B22,Block B22,block
block:B23,chapter:B,B23,Block B23,block
block:B24,chapter:B,B24,Block B24,block
block:B25,chapter:B,B25,Block B25,block
block:B26,chapter:B,B26,Block B26,block
block:B27,chapter:B,B27,Block B27,block
block:B30,chapter:B,B30,Block B30,block
block:B33,chapter:B,B33,Block B33,block
block:B34,chapter:B,B34,Block B34,block
block:B35,chapter:B,B35,Block B35,block
block:B36,chapter:B,B36,Block B36,block
block:B37,chapter:B,B37,Block B37,block
block:B38,chapter:B,B38,Block B38,block
block:B39,chapter:B,B39,Block B39,block
block:B40,chapter:B,B40,Block B40,block
block:B41,chapter:B,B41,Block B41,block
